incident_severity,vehicle_claim,total_claim_amount,property_claim,authorities_contacted,injury_claim,fraud_reported
2,40320,55440,10080,1,5040,1
0,58800,80850,14700,3,7350,1
3,6120,7480,680,3,680,0
0,41720,53640,5960,1,5960,1
0,46000,63250,11500,1,5750,1
0,39360,59040,9840,0,9840,0
2,35350,50500,5050,2,10100,0
0,38460,57690,12820,3,6410,1
3,4620,5940,660,3,660,0
0,37170,47790,5310,1,5310,1
3,3150,3850,350,3,350,0
0,47200,59000,5900,3,5900,1
0,49420,70600,14120,0,7060,1
1,44720,61490,11180,3,5590,0
1,41920,57640,10480,3,5240,0
3,4770,6890,1060,3,1060,0
0,35520,53280,5920,1,11840,1
1,54810,78300,7830,1,15660,0
0,32270,41490,4610,0,4610,0
2,50160,68970,6270,1,12540,0
1,59710,85300,8530,3,17060,0
1,2240,3080,280,3,560,0
0,49680,71760,11040,3,11040,1
1,35820,59700,11940,0,11940,0
1,43280,64920,10820,1,10820,0
0,29190,37530,4170,0,4170,0
2,49840,64080,7120,0,7120,0
1,43920,60390,5490,2,10980,1
0,46800,64350,11700,3,5850,1
1,49630,70900,7090,3,14180,0
1,31040,46560,7760,1,7760,0
3,3010,4730,860,3,860,1
1,4340,6820,1240,3,1240,0
0,41930,59900,5990,3,11980,1
0,53040,79560,13260,3,13260,0
2,51120,70290,6390,2,12780,0
2,46480,63910,11620,0,5810,0
3,5120,6400,640,3,640,0
0,51940,66780,7420,0,7420,1
1,5840,8760,1460,3,1460,0
0,68480,94160,17120,0,8560,0
2,34380,51570,11460,0,5730,0
0,31620,52700,10540,1,10540,1
1,69930,101010,15540,1,15540,0
1,42720,53400,5340,3,5340,1
2,48080,72120,12020,1,12020,0
1,53970,77100,15420,3,7710,0
3,2700,3300,0,3,600,0
1,4320,5940,540,3,1080,0
0,35400,63720,21240,2,7080,0
3,5760,7680,640,3,1280,0
2,57680,93730,21630,3,14420,0
0,52380,87300,17460,3,17460,0
3,3780,5670,630,3,1260,0
1,46060,65800,6580,2,13160,0
0,28560,36720,4080,2,4080,1
0,38400,52800,9600,1,4800,1
2,47280,59100,5910,1,5910,1
2,56320,77440,7040,2,14080,0
2,36560,45700,4570,1,4570,0
0,58720,80740,14680,2,7340,1
0,22800,31350,5700,0,2850,1
2,24500,35000,7000,2,3500,0
2,47600,68000,6800,3,13600,0
1,58500,84500,13000,2,13000,0
1,52850,75500,15100,3,7550,0
2,60400,90600,15100,2,15100,0
2,48240,64320,10720,0,5360,0
1,22190,31700,3170,3,6340,0
0,49520,74280,12380,2,12380,1
2,60390,80520,6710,1,13420,0
0,44520,63600,12720,2,6360,0
2,26240,32800,3280,3,3280,0
2,29460,44190,4910,3,9820,0
0,35280,50400,5040,2,10080,1
2,61880,88400,8840,3,17680,0
2,48400,66550,6050,1,12100,0
1,47840,65780,11960,3,5980,0
0,37680,51810,4710,2,9420,1
0,40480,55660,10120,2,5060,1
0,29760,44640,4960,1,9920,0
0,56480,77660,14120,0,7060,1
3,3760,5640,940,3,940,0
3,2030,3190,580,3,580,0
2,46760,53440,6680,1,0,0
1,50750,65250,7250,3,7250,0
1,34440,44280,4920,1,4920,0
2,54670,70290,7810,3,7810,0
1,69680,87100,8710,2,8710,0
2,41220,50380,4580,1,4580,0
2,45360,64800,6480,3,12960,1
1,44800,70400,12800,2,12800,0
0,47340,57860,10520,3,0,1
1,4320,6240,960,3,960,0
2,38850,66600,11100,3,16650,1
1,47280,70920,11820,3,11820,0
1,26320,39480,6580,0,6580,0
2,47430,63240,5270,2,10540,0
2,49200,67650,6150,2,12300,0
0,44520,74200,14840,1,14840,1
1,38940,64900,12980,2,12980,0
0,25130,35900,3590,0,7180,1
1,36540,52200,10440,1,5220,0
1,58500,78000,13000,3,6500,0
1,53760,67200,6720,0,6720,0
2,46000,63250,5750,1,11500,0
0,51570,68760,5730,2,11460,0
1,43360,65040,10840,3,10840,0
0,48300,82800,13800,0,20700,1
2,49360,61700,6170,2,6170,0
0,54670,78100,7810,0,15620,1
0,46800,65520,9360,0,9360,1
3,3600,4500,450,3,450,0
0,36600,42700,6100,2,0,1
1,4340,5580,620,3,620,1
1,2520,3600,720,3,360,1
3,2240,2800,280,3,280,0
1,42000,54000,6000,0,6000,0
1,35600,48950,8900,3,4450,1
0,46680,77800,15560,2,15560,0
0,35040,52560,5840,2,11680,0
2,32080,44110,8020,3,4010,0
2,54080,74360,6760,2,13520,0
1,4760,6120,680,3,680,1
1,46710,62280,10380,3,5190,0
2,17010,26730,4860,2,4860,0
0,52960,66200,6620,0,6620,0
2,31850,45500,4550,1,9100,0
1,44200,53040,4420,0,4420,0
0,35560,50800,5080,2,10160,1
2,35360,44200,4420,3,4420,0
1,45760,62920,5720,3,11440,0
1,38850,49950,5550,2,5550,1
1,43890,56430,6270,0,6270,1
1,63770,100210,18220,3,18220,0
1,38220,49140,5460,1,5460,0
0,44560,66840,5570,0,16710,0
2,48580,62460,6940,2,6940,0
2,39970,62810,11420,2,11420,0
0,40620,54160,6770,0,6770,0
0,33880,48400,4840,0,9680,0
2,40040,51480,5720,1,5720,0
2,36190,51700,10340,1,5170,0
2,49140,65520,5460,2,10920,0
0,33390,47700,9540,2,4770,1
1,4060,5220,580,3,580,0
0,54990,73320,12220,2,6110,0
1,52430,74900,7490,1,14980,0
3,2320,3190,290,3,580,0
1,57690,76920,6410,0,12820,0
2,56720,77990,14180,3,7090,0
2,41310,59670,9180,1,9180,0
0,32640,44880,4080,0,8160,1
1,60240,82830,15060,0,7530,0
1,61440,84480,15360,2,7680,1
2,55860,79800,7980,1,15960,0
1,33740,53020,9640,3,9640,0
2,17600,24200,4400,3,2200,0
1,27510,43230,7860,1,7860,0
3,2320,3190,580,3,290,0
1,3900,5850,650,3,1300,0
3,4960,6820,1240,3,620,0
1,46320,69480,11580,1,11580,0
0,70920,94560,15760,1,7880,0
1,6240,7800,780,3,780,0
2,44560,61270,11140,2,5570,0
2,53580,71440,8930,3,8930,0
2,38920,55600,5560,0,11120,0
3,3500,5000,500,3,1000,0
1,66330,95810,14740,2,14740,0
0,48510,69300,13860,0,6930,0
2,47320,81120,20280,0,13520,0
0,63180,91260,14040,2,14040,0
1,42420,60600,12120,1,6060,0
0,45360,64800,12960,0,6480,1
0,48640,66880,12160,3,6080,1
2,46560,58200,5820,0,5820,0
1,47110,60570,6730,3,6730,0
0,52260,69680,8710,0,8710,1
2,38990,55700,11140,1,5570,0
2,51030,62370,5670,0,5670,0
2,44460,54340,0,2,9880,0
0,42910,55170,6130,3,6130,1
1,40950,58500,5850,2,11700,0
0,46620,59940,6660,1,6660,0
2,58720,73400,7340,3,7340,0
0,32550,41850,4650,1,4650,0
3,4480,6400,1280,3,640,1
3,2320,3190,290,3,580,0
3,4720,5900,590,3,590,0
2,44590,57330,6370,1,6370,0
2,54640,81960,13660,2,13660,0
0,44800,70400,19200,1,6400,1
1,2610,3770,580,3,580,0
1,5180,7400,1480,3,740,0
2,42630,54810,6090,3,6090,1
2,34580,49400,9880,1,4940,0
1,50000,68750,6250,1,12500,0
2,43050,61500,6150,0,12300,0
0,55920,76890,13980,0,6990,0
1,37380,56070,12460,0,6230,0
2,42000,56000,0,1,14000,0
3,3120,4290,390,3,780,0
2,47250,60750,6750,2,6750,0
1,39870,48730,4430,2,4430,0
1,60550,95150,17300,3,17300,0
1,6120,7480,680,3,680,0
0,59850,79800,6650,0,13300,1
2,77670,103560,17260,2,8630,0
1,55650,79500,7950,0,15900,0
1,55440,76230,13860,2,6930,1
1,39680,59520,9920,0,9920,0
0,35820,47760,5970,3,5970,1
2,61520,84590,7690,3,15380,0
2,47950,61650,6850,2,6850,0
0,65120,81400,8140,3,8140,0
0,42480,58410,5310,1,10620,0
0,31590,38610,3510,0,3510,0
1,38400,57600,9600,1,9600,0
1,35460,53190,11820,1,5910,0
0,40810,58300,11660,2,5830,1
1,57440,64620,0,0,7180,0
2,60320,90480,15080,0,15080,0
3,4720,7080,1180,3,1180,0
1,4720,6490,1180,3,590,1
2,44720,55900,5590,3,5590,0
0,51040,63800,6380,2,6380,1
2,43620,58160,7270,3,7270,1
1,4410,6300,1260,3,630,1
0,66570,104610,19020,1,19020,1
0,50800,69850,6350,1,12700,0
1,44030,62900,6290,1,12580,0
0,46410,59670,6630,2,6630,1
1,57050,81500,8150,2,16300,0
1,30000,50000,5000,0,15000,0
2,30730,48290,8780,2,8780,0
2,48330,59070,5370,1,5370,0
1,44310,63300,6330,3,12660,0
2,41860,65780,11960,2,11960,0
2,52200,75400,11600,0,11600,1
1,1750,2250,250,3,250,0
1,40590,54120,9020,0,4510,0
0,46320,69480,11580,2,11580,0
1,46350,66950,10300,3,10300,0
0,44870,64100,6410,2,12820,1
1,53520,80280,13380,2,13380,0
3,4160,4680,0,3,520,0
1,26480,39720,6620,0,6620,0
0,52020,63580,5780,3,5780,1
1,53360,73370,6670,2,13340,0
1,55230,86790,23670,3,7890,0
0,34860,49800,4980,3,9960,0
0,56320,77440,14080,2,7040,0
2,34320,42900,0,2,8580,0
0,35880,53820,5980,1,11960,1
1,38220,57330,6370,3,12740,0
1,41510,53370,5930,3,5930,0
1,38720,62920,14520,3,9680,0
2,43120,61600,12320,1,6160,0
2,55620,74160,12360,3,6180,0
2,62300,80100,8900,3,8900,0
3,4920,6560,820,3,820,0
2,41160,58800,5880,0,11760,0
1,35820,53730,5970,0,11940,1
2,45450,60600,10100,0,5050,0
2,26000,35750,3250,2,6500,0
2,32130,42840,7140,0,3570,0
0,58640,87960,14660,1,14660,1
1,38240,47800,4780,0,4780,0
3,2560,3840,640,3,640,0
2,56000,77000,7000,1,14000,0
2,56070,88110,16020,0,16020,0
1,39060,47740,4340,1,4340,0
2,42880,58960,10720,1,5360,0
1,1440,2160,240,3,480,0
3,5300,6890,1060,3,530,0
0,57360,78870,14340,0,7170,0
3,2100,2700,300,3,300,0
2,63300,75960,6330,0,6330,0
0,54960,75570,13740,3,6870,1
1,60160,90240,15040,3,15040,0
0,58880,80960,7360,0,14720,0
2,59310,79080,13180,2,6590,0
1,4960,6820,620,3,1240,0
2,45520,62590,11380,1,5690,0
0,39300,52400,6550,2,6550,1
0,46240,63580,11560,0,5780,0
1,49120,61400,6140,3,6140,0
1,3290,4700,470,3,940,1
2,47180,74140,13480,1,13480,0
0,62370,83160,13860,2,6930,0
3,8300,10790,830,3,1660,0
0,30590,48070,8740,3,8740,0
1,34020,51030,11340,0,5670,0
1,37870,43280,5410,1,0,1
0,53480,76400,7640,1,15280,0
2,48020,75460,13720,0,13720,0
0,48300,69000,6900,2,13800,1
1,6480,8640,720,3,1440,0
1,42770,67210,12220,0,12220,0
2,34000,42500,4250,0,4250,0
1,64800,86400,7200,1,14400,0
1,2940,4620,840,3,840,1
3,5040,6930,1260,3,630,0
1,25020,41700,8340,2,8340,0
0,49210,77330,14060,2,14060,1
3,3600,4950,450,3,900,0
1,3440,5160,860,3,860,0
2,19110,24570,2730,1,2730,1
1,39040,53680,9760,0,4880,0
2,35100,42900,3900,3,3900,0
1,58870,84100,8410,1,16820,1
2,47880,61560,6840,1,6840,0
1,33180,44240,5530,3,5530,0
1,40390,57700,5770,0,11540,0
1,74790,108030,16620,2,16620,0
1,38010,54300,5430,1,10860,0
0,21520,32280,5380,0,5380,1
2,59220,84600,8460,2,16920,0
2,55760,69700,6970,2,6970,0
2,25480,36400,7280,0,3640,0
1,28140,37520,4690,3,4690,0
0,50330,79090,14380,0,14380,0
0,45180,67770,15060,2,7530,1
2,33180,47400,4740,2,9480,1
2,49770,71100,14220,2,7110,0
1,48580,69400,6940,3,13880,0
0,40000,55000,10000,2,5000,1
2,35370,51090,7860,3,7860,0
0,38520,64200,19260,1,6420,1
2,42840,67320,12240,2,12240,0
0,55360,76120,13840,2,6920,0
1,58860,85020,13080,0,13080,0
1,43330,68090,12380,1,12380,0
3,4690,6030,670,3,670,0
1,3570,5100,510,3,1020,0
3,3570,4590,510,3,510,0
0,50680,72400,14480,2,7240,1
0,49630,70900,7090,1,14180,0
2,52080,65100,6510,2,6510,0
2,49980,64260,14280,0,0,0
0,50890,79970,21810,0,7270,1
2,44030,56610,6290,3,6290,0
0,69210,84590,7690,1,7690,1
0,44520,66780,14840,1,7420,0
0,52000,58500,6500,3,0,0
3,4000,5000,500,3,500,0
3,3500,5000,1000,3,500,1
0,36300,54450,12100,0,6050,0
0,48160,61920,6880,3,6880,0
1,34960,43700,4370,0,4370,1
1,49840,64080,7120,2,7120,0
2,35000,55000,10000,2,10000,1
3,3850,4400,550,3,0,0
1,53730,71640,11940,3,5970,0
1,48020,61740,6860,2,6860,0
2,46000,57500,5750,0,5750,0
1,6090,8700,1740,3,870,0
2,53970,77100,7710,3,15420,0
1,46200,59400,6600,3,6600,0
1,39920,54890,4990,1,9980,0
1,53840,74030,13460,2,6730,0
2,39130,61490,11180,2,11180,0
1,59670,79560,13260,3,6630,0
1,3920,4900,490,3,490,0
2,49490,77770,14140,2,14140,0
0,52290,74700,14940,1,7470,1
1,32480,40600,4060,3,4060,0
2,25150,45270,10060,0,10060,0
1,34240,47080,8560,0,4280,0
1,32560,40700,4070,3,4070,1
1,25200,34650,3150,3,6300,0
3,2400,3200,400,3,400,0
0,57440,78980,14360,1,7180,1
1,4480,6160,1120,3,560,0
0,62000,85250,7750,0,15500,0
0,54630,72840,6070,1,12140,0
3,3850,6050,1100,3,1100,0
0,63920,87890,7990,1,15980,1
2,44000,60500,5500,2,11000,1
1,56140,88220,16040,1,16040,0
2,39040,53680,4880,2,9760,0
1,43040,53800,5380,1,5380,0
0,40770,54360,9060,3,4530,1
0,39520,54340,4940,3,9880,0
3,2080,2860,260,3,520,1
1,4270,5490,1220,3,0,0
3,5360,7370,1340,3,670,0
0,40640,50800,5080,0,5080,1
1,31140,41520,5190,1,5190,0
2,65200,89650,16300,3,8150,0
2,39690,39690,0,3,0,0
0,50940,62260,5660,0,5660,0
0,37760,51920,4720,3,9440,1
1,38880,53460,4860,2,9720,0
2,45680,57100,5710,1,5710,0
2,56320,77440,7040,0,14080,0
1,47810,68300,13660,0,6830,0
3,3680,5060,920,3,460,0
2,39600,59400,13200,0,6600,1
0,54390,69930,15540,0,0,1
1,54390,77700,15540,3,7770,0
0,43750,68750,12500,2,12500,1
1,57960,91080,16560,3,16560,0
1,36270,48360,8060,2,4030,0
0,76000,95000,9500,2,9500,0
3,2730,3900,390,3,780,0
1,41580,59400,5940,2,11880,1
1,46830,60210,6690,1,6690,0
1,30520,43600,4360,0,8720,0
2,43960,62800,12560,3,6280,0
0,41650,59500,5950,0,11900,0
2,41580,53460,5940,3,5940,0
2,26530,41690,7580,0,7580,0
1,44170,63100,12620,0,6310,0
2,47160,62880,10480,0,5240,1
0,46400,75400,11600,1,17400,1
2,33600,46200,8400,0,4200,0
0,46800,58500,5850,0,5850,0
0,44160,66240,11040,2,11040,0
2,49080,65440,8180,0,8180,0
1,42800,64200,10700,1,10700,0
1,24240,32320,4040,0,4040,0
0,26040,33480,3720,3,3720,0
3,2880,4320,960,3,480,0
3,2940,4200,420,3,840,0
1,42160,57970,5270,0,10540,0
3,3360,4320,960,3,0,0
1,48510,69300,6930,1,13860,0
1,24360,32480,4060,3,4060,0
2,47040,60480,6720,3,6720,0
3,1760,2640,440,3,440,0
3,4400,6050,1100,3,550,0
2,34160,42700,4270,0,4270,1
0,29280,40260,7320,0,3660,1
0,35000,50000,10000,1,5000,0
3,2880,3840,320,3,640,0
1,61650,95900,20550,3,13700,0
1,37440,56160,12480,0,6240,0
0,45840,63030,11460,3,5730,0
1,46160,63470,11540,3,5770,0
0,32320,44440,4040,3,8080,1
1,4200,6600,1200,3,1200,0
1,57900,77200,9650,0,9650,0
2,45600,57000,11400,2,0,0
3,2100,2700,300,3,300,0
2,34400,47300,8600,3,4300,0
0,40080,55110,10020,2,5010,0
3,3360,4320,480,3,480,0
2,51570,68760,5730,3,11460,1
0,52080,74400,7440,2,14880,1
0,28240,35300,3530,1,3530,1
1,1680,2640,480,3,480,0
2,46300,60190,9260,0,4630,1
0,30240,41580,7560,1,3780,1
1,46800,58500,0,0,11700,1
1,59490,79320,6610,1,13220,0
1,67590,82610,7510,0,7510,1
2,45850,78600,19650,0,13100,1
1,39970,51390,5710,0,5710,1
0,56160,70200,7020,0,7020,1
1,2940,4900,1470,3,490,0
0,49860,66480,11080,2,5540,1
0,36640,50380,9160,1,4580,1
0,44550,64350,9900,1,9900,0
0,38780,55400,11080,0,5540,1
2,34930,49900,9980,2,4990,0
1,49920,74880,12480,0,12480,0
1,73260,105820,16280,2,16280,0
3,5200,7150,650,3,1300,0
2,33480,55800,11160,0,11160,0
3,3710,5830,1060,3,1060,0
0,51540,85900,17180,0,17180,1
1,4740,7110,1580,3,790,0
2,26880,36960,3360,1,6720,0
1,51520,64400,6440,3,6440,0
1,1440,1920,0,3,480,0
0,62640,86130,7830,3,15660,1
0,59760,82170,7470,1,14940,1
0,35210,50300,5030,1,10060,1
0,30940,44200,8840,3,4420,0
0,54540,66660,6060,0,6060,0
2,56960,78320,14240,0,7120,0
2,72720,105040,16160,1,16160,0
1,40560,50700,5070,1,5070,0
2,34140,51210,5690,1,11380,0
2,34560,51840,8640,1,8640,0
2,42240,52800,5280,0,5280,0
1,32200,55200,13800,1,9200,0
1,6300,9100,1400,3,1400,0
1,47320,67600,6760,2,13520,0
1,27200,40800,6800,2,6800,0
0,58500,84500,13000,2,13000,1
0,52080,71610,6510,2,13020,1
0,42420,60600,12120,2,6060,1
0,54160,81240,20310,1,6770,1
2,20510,29300,5860,1,2930,0
2,55600,76450,13900,1,6950,0
0,34580,49400,4940,1,9880,0
2,57610,90530,16460,0,16460,0
1,5840,8030,730,3,1460,0
1,51120,63900,6390,1,6390,0
1,28980,38640,4830,1,4830,0
2,27660,41490,4610,2,9220,0
1,57520,79090,7190,1,14380,0
0,61530,87900,8790,3,17580,0
2,42720,53400,5340,0,5340,0
2,33110,52030,9460,1,9460,0
1,59680,82060,7460,0,14920,0
1,32240,48360,8060,0,8060,0
1,34860,52290,11620,2,5810,0
0,43400,68200,12400,3,12400,1
0,40500,60750,6750,2,13500,1
0,41720,65560,11920,1,11920,1
1,44730,70290,12780,3,12780,0
2,35000,45000,5000,0,5000,0
2,43260,61800,6180,1,12360,0
0,46960,64570,11740,0,5870,0
1,49350,70500,14100,2,7050,0
2,34740,57900,5790,3,17370,0
1,42080,57860,10520,1,5260,0
1,25200,37800,4200,1,8400,0
2,50640,63300,6330,0,6330,0
2,30940,44200,4420,0,8840,0
1,24640,31680,3520,3,3520,0
3,70,100,20,3,10,0
1,43820,56340,6260,1,6260,0
2,57060,69740,6340,3,6340,0
2,40320,60480,15120,3,5040,0
1,60660,80880,13480,3,6740,0
2,35920,49390,4490,1,8980,0
1,46240,69360,11560,0,11560,0
1,2380,3740,680,3,680,0
3,3680,5060,920,3,460,0
2,26080,35860,6520,3,3260,1
